Hot100 Ranking Year,Pop,Rock,R&B,Rap,Hip Hop,Soul,Country,Folk,Disco,Motown,Metal,Funk,Blues,Alternative,Electronic,Jazz
1960,754.0,1637.5,0.0,0.0,0.0,205.0,59.5,198.5,0.0,95.0,0.0,0.0,366.5,0.0,0.0,122.0
1961,419.6666666666667,1192.6666666666667,0.0,27.0,0.0,563.3333333333334,134.0,107.16666666666667,12.0,89.66666666666667,0.0,50.66666666666667,775.8333333333334,0.0,0.0,75.0
1962,654.8333333333334,1406.6666666666667,0.0,0.0,0.0,589.1666666666666,62.0,117.83333333333333,0.0,210.16666666666666,0.0,39.5,441.16666666666663,12.0,0.0,430.6666666666667
1963,725.3333333333334,816.8333333333334,0.0,0.0,0.0,632.3333333333334,25.0,289.1666666666667,0.0,232.5,0.0,8.0,539.0,0.0,0.0,132.83333333333334
1964,650.2666666666667,1459.2666666666667,0.0,0.0,0.0,638.7666666666667,107.5,250.0,86.26666666666667,225.0,0.0,22.5,164.83333333333334,0.0,0.0,325.6
1965,823.6666666666666,1384.4166666666667,0.0,0.0,0.0,502.3333333333333,128.25,611.4166666666666,87.33333333333333,253.33333333333334,0.0,34.0,110.25,0.0,0.0,59.0
1966,917.65,1381.3166666666666,0.0,0.0,0.0,617.3166666666667,188.91666666666666,542.9166666666666,85.15,279.25,0.0,42.0,118.91666666666667,0.0,0.0,42.56666666666667
1967,766.95,1206.7333333333333,0.0,0.0,0.0,744.45,138.5,526.8333333333334,83.53333333333333,268.6333333333333,0.0,38.46666666666667,186.25,0.0,0.0,68.65
1968,801.4833333333333,1023.15,0.0,0.0,0.0,628.9,140.25,306.9166666666667,26.733333333333334,204.0,59.33333333333333,105.33333333333333,293.3333333333333,0.0,0.0,147.56666666666666
1969,773.5666666666666,1109.1166666666666,0.0,0.0,0.0,584.5666666666667,375.21666666666664,363.3833333333333,17.233333333333334,449.6666666666667,0.0,130.16666666666666,62.88333333333333,0.0,0.0,72.2
1970,707.05,1279.2166666666667,0.0,0.0,0.0,822.1166666666667,353.68333333333334,421.01666666666665,89.7,542.9166666666666,19.416666666666664,72.83333333333333,189.76666666666665,0.0,0.0,2.283333333333333
1971,972.3333333333334,1323.9166666666667,0.0,0.0,0.0,616.4166666666666,335.6666666666667,382.1666666666667,105.83333333333333,266.75,0.0,76.16666666666667,98.08333333333333,0.0,0.0,33.666666666666664
1972,850.5,1134.85,70.5,0.0,0.0,934.1166666666667,254.75,490.5833333333333,136.68333333333334,104.08333333333333,14.666666666666666,309.01666666666665,133.31666666666666,0.0,0.0,142.93333333333334
1973,506.75,1269.4,0.0,0.0,0.0,666.9833333333333,325.1666666666667,438.4166666666667,277.5833333333333,337.9166666666667,101.5,239.06666666666666,98.06666666666666,22.75,0.0,57.4
1974,1019.7404761904762,1057.1571428571428,0.0,0.0,0.0,657.4571428571428,467.2166666666667,260.3833333333333,418.82380952380953,270.4904761904762,0.0,237.40714285714284,74.16666666666667,19.0,0.0,73.15714285714286
1975,636.3333333333334,1637.0,0.0,0.0,0.0,413.58333333333337,445.1666666666667,352.6666666666667,521.0833333333334,142.33333333333334,50.0,231.41666666666666,81.0,0.0,0.0,80.41666666666667
1976,395.1666666666667,1914.8833333333334,27.0,0.0,0.0,494.3833333333333,231.66666666666666,207.83333333333334,751.55,150.88333333333333,47.666666666666664,176.46666666666667,104.75,0.0,0.0,33.75
1977,519.6666666666666,1882.35,0.0,0.0,0.0,288.1,163.58333333333334,160.41666666666666,273.93333333333334,236.18333333333334,103.5,99.1,52.083333333333336,0.0,31.333333333333332,11.75
1978,429.5,2260.366666666667,0.0,0.0,0.0,180.95,154.33333333333334,180.66666666666666,770.2833333333333,55.95,66.33333333333333,138.11666666666667,47.666666666666664,0.0,0.0,116.83333333333333
1979,656.4666666666667,1688.5666666666666,0.0,0.0,0.0,231.03333333333333,268.0,136.83333333333331,971.3666666666667,69.9,89.0,216.23333333333332,9.5,0.0,0.0,65.1
1980,478.65,2184.6666666666665,96.5,0.0,0.0,428.5833333333333,295.1666666666667,126.16666666666667,551.0833333333334,193.85,67.5,191.68333333333334,10.5,21.0,0.0,66.65
