Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['easy listening', ""man's orchestra""]",1960,1
['nashville sound'],1960,2
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1960,3
"['rockabilly', 'doo-wop', 'rock-and-roll']",1960,4
['deep adult standards'],1960,5
['karaoke'],1960,6
"['rockabilly', 'rock-and-roll']",1960,7
"['doo-wop', 'rhythm and blues']",1960,8
"['rockabilly', 'rock-and-roll']",1960,9
"['rockabilly', 'rock-and-roll']",1960,10
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1960,11
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1960,12
"['american folk revival', 'vocal harmony group']",1960,13
"['traditional rockabilly', 'doo-wop', 'rock-and-roll', 'rockabilly', 'canadian rockabilly']",1960,14
"['cowboy western', 'nashville sound']",1960,15
['novelty'],1960,16
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1960,17
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1960,18
"['doo-wop', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1960,19
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1960,20
"['rockabilly', 'doo-wop', 'brill building pop', 'rock-and-roll']",1960,21
"['doo-wop', 'bubblegum pop', 'deep adult standards']",1960,22
"['canadian pop', 'easy listening', 'adult standards']",1960,23
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening']",1960,24
['surf music'],1960,25
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'soul']",1960,26
"['rhythm and blues', 'vocal jazz', 'jazz blues', 'southern soul', 'soul']",1960,27
"['cowboy western', 'classic country pop']",1960,28
"['vocal jazz', 'classic soul', 'soul']",1960,29
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1960,30
"['doo-wop', 'rhythm and blues']",1960,31
"['lounge', 'rock-and-roll', 'adult standards', 'vocal jazz', 'easy listening']",1960,32
"['rock-and-roll', 'swamp pop', 'doo-wop', 'rhythm and blues']",1960,33
"['classic soul', 'chicago soul', 'soul', 'rock-and-roll']",1960,34
"['traditional rockabilly', 'doo-wop', 'rock-and-roll', 'rockabilly', 'canadian rockabilly']",1960,35
['deep adult standards'],1960,36
"['rockabilly', 'surf music', 'rock-and-roll']",1960,37
"['country rock', 'country', 'arkansas country', 'classic country pop']",1960,38
"['easy listening', 'adult standards']",1960,39
"['doo-wop', 'rock-and-roll', 'surf music', 'classic garage rock', 'rockabilly', 'bubblegum pop', 'merseybeat', 'rhythm and blues']",1960,40
['deep adult standards'],1960,41
['novelty'],1960,42
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1960,43
[],1960,44
"['rockabilly', 'doo-wop', 'rock-and-roll']",1960,45
['motown'],1960,46
['nashville sound'],1960,47
[],1960,48
"['doo-wop', 'rhythm and blues']",1960,49
"['rock-and-roll', 'easy listening', 'rockabilly', 'adult standards']",1960,50
[],1960,51
"['soul blues', 'soul', 'southern soul']",1960,52
['easy listening'],1960,53
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1960,54
[],1960,55
"['easy listening', 'adult standards']",1960,56
[],1960,57
"['vocal harmony group', 'nashville sound']",1960,58
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'brill building pop']",1960,59
"['vocal harmony group', 'doo-wop']",1960,60
[],1960,61
[],1960,62
"['southern soul', 'rhythm and blues']",1960,63
"['doo-wop', 'deep adult standards']",1960,64
['motown'],1960,65
"['canadian pop', 'easy listening', 'adult standards']",1960,66
"['deep adult standards', 'rock-and-roll']",1960,67
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1960,68
"['easy listening', 'adult standards']",1960,69
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1960,70
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1960,71
"['rock-and-roll', 'piano blues', 'louisiana blues', 'rockabilly', 'new orleans blues']",1960,72
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1960,73
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1960,74
"['rhythm and blues', 'vocal jazz', 'jazz blues', 'southern soul', 'soul']",1960,75
"['soft rock', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening', 'brill building pop']",1960,76
"['mariachi', 'canadian pop', 'musica mexicana', 'adult standards', 'latin pop', 'cancion melodica', 'easy listening', 'ranchera']",1960,77
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1960,78
[],1960,79
"['vocal jazz', 'classic soul', 'soul']",1960,80
['romantico'],1960,81
"['rhythm and blues', 'doo-wop', 'rock-and-roll', 'louisiana blues', 'rockabilly', 'new orleans blues', 'memphis blues']",1960,82
['doo-wop'],1960,83
['novelty'],1960,84
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1960,85
"['rockabilly', 'doo-wop', 'rock-and-roll']",1960,86
"['doo-wop', 'nashville sound', 'merseybeat', 'rock-and-roll']",1960,87
['brill building pop'],1960,88
['novelty'],1960,89
"['rockabilly', 'doo-wop', 'rock-and-roll']",1960,90
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1960,91
['rockabilly'],1960,92
"['deep adult standards', 'rock-and-roll']",1960,93
['deep adult standards'],1960,94
"['classic soul', 'chicago soul', 'soul', 'rock-and-roll']",1960,95
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1960,96
['motown'],1960,97
[],1960,98
"['nashville sound', 'arkansas country', 'country']",1960,99
['instrumental worship'],1960,100
"['doo-wop', 'rhythm and blues']",1961,1
"['country gospel', 'nashville sound']",1961,2
[],1961,3
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1961,4
"['rockabilly', 'doo-wop', 'rock-and-roll']",1961,5
"['doo-wop', 'rhythm and blues']",1961,6
"['rockabilly', 'rock-and-roll']",1961,7
[],1961,8
"['chicago soul', 'doo-wop', 'rhythm and blues']",1961,9
[],1961,10
"['easy listening', 'polka']",1961,11
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'brill building pop']",1961,12
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1961,13
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1961,14
"['instrumental soul', 'memphis soul', 'southern soul']",1961,15
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1961,16
['easy listening'],1961,17
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1961,18
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1961,19
['deep adult standards'],1961,20
"['louisiana blues', 'new orleans soul', 'new orleans funk', 'rhythm and blues', 'new orleans blues']",1961,21
"['doo-wop', 'rhythm and blues']",1961,22
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1961,23
"['classic soul', 'quiet storm', 'motown', 'rhythm and blues', 'soul']",1961,24
"['southern soul', 'rhythm and blues']",1961,25
['deep adult standards'],1961,26
"['doo-wop', 'rhythm and blues']",1961,27
['karaoke'],1961,28
"['easy listening', 'honky-tonk piano', 'nashville sound']",1961,29
"['easy listening', 'adult standards']",1961,30
"['doo-wop', 'rhythm and blues']",1961,31
"['doo-wop', 'brill building pop']",1961,32
"['soft rock', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening', 'brill building pop']",1961,33
"['louisiana blues', 'rhythm and blues', 'new orleans soul', 'new orleans blues']",1961,34
['dansktop'],1961,35
['brill building pop'],1961,36
"['doo-wop', 'nashville sound', 'merseybeat', 'rock-and-roll']",1961,37
['nashville sound'],1961,38
"['rockabilly', 'rock-and-roll']",1961,39
"['doo-wop', 'rock-and-roll']",1961,40
[],1961,41
['deep adult standards'],1961,42
"['doo-wop', 'rock-and-roll', 'louisiana blues', 'rhythm and blues', 'new orleans blues']",1961,43
[],1961,44
"['honky tonk', 'traditional country', 'western swing', 'classic country pop']",1961,45
"['rockabilly', 'doo-wop', 'rock-and-roll']",1961,46
